CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
141;;BORDA CHOCOLATE AO LEITE - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-9;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
142;;BORDA CHOCOLATE AO LEITE - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-7;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
143;;BORDA CHOCOLATE AO LEITE- G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-13;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
144;;BORDA CHOCOLATE AO LEITE - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-23;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
145;;BORDA CATUPIRY ORIGINAL - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-5;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
146;;BORDA CATUPIRY ORIGINAL - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-6;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
147;;BORDA CATUPIRY ORIGINAL - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
148;;BORDA CATUPIRY ORIGINAL - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-14;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
149;;BORDA REQUEIJAO SIMPLES - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
150;;BORDA REQUEIJAO SIMPLES - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
151;;BORDA REQUEIJAO SIMPLES - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
152;;BORDA REQUEIJAO SIMPLES - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
154;;BORDA CHOCOLATE BRANCO - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
155;;BORDA CHOCOLATE BRANCO - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
156;;BORDA CHOCOLATE BRANCO - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
157;;BORDA CHOCOLATE BRANCO - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
158;;BORDA DOCE DE LEITE - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
159;;BORDA DOCE DE LEITE - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
160;;BORDA DOCE DE LEITE - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
161;;BORDA DOCE DE LEITE - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
295;;BORDA CREAM CHEESE - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
296;;BORDA CREAM CHEESE - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
297;;BORDA CREAM CHEESE - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
298;;BORDA CREAM CHEESE - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
320;;BORDA CHEDDAR ORIGINAL - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
321;;BORDA CHEDDAR ORIGINAL - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
322;;BORDA CHEDDAR ORIGINAL - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
323;;BORDA CHEDDAR ORIGINAL - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-4;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
324;;BORDA CHEDDAR SIMPLES - P;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
325;;BORDA CHEDDAR SIMPLES - M;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
326;;BORDA CHEDDAR SIMPLES - G;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
327;;BORDA CHEDDAR SIMPLES - GG;COMPLEMENTOS ;;19059090.0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
