CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
42;;FILE A PARMEGIANA - 1 PESSOA ;PARMEGIANAS ;;16023290.0;0;0;23;0;0;-91;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
43;;FILE A PARMEGIANA - 2 PESSOAS;PARMEGIANAS ;;16023290.0;0;0;36;0;0;-143;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
44;;FILE A PARMEGIANA - 3 PESSOAS;PARMEGIANAS ;;16023290.0;0;0;46;0;0;-117;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
45;;CAMARAO A PARMEGIANA - 1 PESSOA;PARMEGIANAS ;;16023290.0;0;0;33;0;0;-19;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
46;;CAMARAO A PARMEGIANA - 2 PESSOAS;PARMEGIANAS ;;16023290.0;0;0;52;0;0;-16;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
47;;CAMARAO A PARMEGIANA - 3 PESSOAS;PARMEGIANAS ;;16023290.0;0;0;62;0;0;-10;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
48;;PASTEL - CHOCOLATE ;PASTEL ;;19059090.0;0;0;15;0;0;-50;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
49;;PASTEL - CAMARAO, CATUPIRY ORIGINAL;PASTEL ;;19059090.0;0;0;18;0;0;-39;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
50;;PASTEL - CARNE DE SOL, MUSSARELA;PASTEL ;;19059090.0;0;0;18;0;0;-55;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
51;;PASTEL - FRANGO, CATUPIRY ORIGINAL;PASTEL ;;19059090.0;0;0;18;0;0;-43;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
52;;PASTEL - QUEIJO MUSSARELA;PASTEL ;;19059090.0;0;0;15;0;0;-23;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
53;;PASTEL - QUEIJO E PRESUNTO;PASTEL ;;19059090.0;0;0;15;0;0;-26;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
54;;PASTEL - MISTO;PASTEL ;;19059090.0;0;0;18;0;0;-50;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
55;;PASTEL - DOM MATEUS;PASTEL ;;19059090.0;0;0;15;0;0;-44;UNID;S;5102;102;40.0;0;S;S;N;N;1703100.0;49;0;;0
56;;PORCAO - AZEITONAS;POR��ES;;21069090.0;0;0;10;0;0;-22;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
57;;PORCAO - BATATA TRADICIONAL 300g;POR��ES;;21069090.0;0;0;12;0;0;-185;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
58;;PORCAO - BATATA C/ CHEDDAR E BACON 300g;POR��ES;;21069090.0;0;0;17;0;0;-57;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
59;;PORCAO - BATATA NORDESTINA 300g;POR��ES;;21069090.0;0;0;20;0;0;-80;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
60;;PORCAO - BATATA CARNE DE SOL NA NATA COM MACAXEIRA COZIDA 30;POR��ES;;21069090.0;0;0;10;0;0;-3;UNID;S;5102;102;40.0;0;N;S;N;N;;49;0;;0
61;;PORCAO - BATATA CARNE DE SOL NA NATA COM MACAXEIRA FRITA 300;POR��ES;;21069090.0;0;0;10;0;0;-68;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
62;;PORCAO - FILE COM FRITAS;POR��ES;;21069090.0;0;0;38;0;0;-101;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
63;;PORCAO - FILE DE FRANGO COM FRITAS;POR��ES;;21069090.0;0;0;35;0;0;-48;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
64;;PORCAO - CARNE DE SOL ACEBOLADA C/ MACAXEIRA ;POR��ES;;21069090.0;0;0;38;0;0;-56;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
65;;PORCAO - CAMARAO AO ALHO E �LEO ;POR��ES;;21069090.0;0;0;40;0;0;-25;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
66;;PORCAO - PICANHA NA CHAPA ;POR��ES;;21069090.0;0;0;50;0;0;-44;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
69;;REFRIGERANTE LATA - COCA COLA ;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-134;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
70;;REFRIGERANTE LATA - COCA COLA ZERO;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-154;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
71;;REFRIGERANTE LATA - GUARANA;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-58;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
72;;REFRIGERANTE LATA - FANTA LARANJA ;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-31;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
73;;REFRIGERANTE LATA - FANTA UVA;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-20;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
74;;REFRIGERANTE LATA - SPRITE;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-14;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
75;;REFRIGERANTE LATA - CAJUINA ;BEBIDAS GERAL;;22021000.0;0;0;6;0;0;-13;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
76;;REFRIGERANTE 600 ML - COCA COLA;BEBIDAS GERAL;;22021000.0;0;0;7;0;0;-101;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
