DESCRICAO;GRUPO;VALOR TAMANHO PEQUENA;VALOR TAMANHO MEDIA;VALOR TAMANHO GRANDE;VALOR TAMANHO GIGANTE
PIZZA SIMPLES - CALABRESA ;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - CAIPIRA;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - BAIANA ;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - CALACHEDDAR;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - FRANCHEDDAR;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - MARGUETITA;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - MISTA 1;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - PRESUNTO;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - VEGETARIANA;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - MISTA 2;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - PORTUGUESA;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - SICILIANA;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - CATUPIREZA;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - BACON;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - MUSSARELA ;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - BRASILEIRA ;PIZZA ;26,00;36,00;45,00;55,00
PIZZA SIMPLES - FRANGO ;PIZZA ;26,00;36,00;45,00;55,00
PIZZA ESPECIAL - FRANGO CATUPIRY ORIGINAL ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - NORDESTINA ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - SERTANEJA ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - CARNE DE SOL NA NATA;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - SANTACRUZENSE ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - QUATRO QUEIJOS ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - FILE;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - FILE COM FRITAS;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - ATUM ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - DOM MATEUS;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - PEPPERONI;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - ITALIANA;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - A MODA DA CASA;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - STROGONOFF;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - PEITO DE PERU;PIZZA ;28,00;40,00;52,00;62,00
PIZZA ESPECIAL - CALAFRITAS;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - BEIJINHO ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - CHOCOLATE;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - CHOCOBANA;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - CHOCOLATE BRANCO ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - DOIS AMORES ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - TRES AMORES ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - ROMEU E JULIETA ;PIZZA ;28,00;40,00;52,00;62,00
PIZZA DOCE - I;PIZZA ;28,00;40,00;52,00;
PIZZA ESPECIAL - CAMARAO;PIZZA ;;40,00;52,00;62,00
PIZZA DOCE - PRESTIGIO;PIZZA ;;;;62,00
PIZZA DOCE - BANANA NEVADA;PIZZA ;28,00;40,00;52,00;62,00
