CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
92;;DOSE - TEACHERS;BEBIDAS ALCOOLICAS ;;22083020;0;0;6;0;0;0;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
93;;DOSE - BLACK & WHITE ;BEBIDAS ALCOOLICAS ;;22083020;0;0;8;0;0;-17;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
94;;DOSE - OLD PARR;BEBIDAS ALCOOLICAS ;;22083020;0;0;13;0;0;-10;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
95;;DOSE - RED LABEL;BEBIDAS ALCOOLICAS ;;22083020;0;0;12;0;0;-13;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
96;;DOSE - VODKA SMIRNOFF;BEBIDAS ALCOOLICAS ;;22086000;0;0;6;0;0;-4;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
97;;DOSE - VODKA SLOVA;BEBIDAS ALCOOLICAS ;;22086000;0;0;6;0;0;-1;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
98;;DOSE - CAMPARI;BEBIDAS ALCOOLICAS ;;22089000;0;0;6;0;0;-24;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
99;;DOSE - MONTILA ;BEBIDAS ALCOOLICAS ;;22089000;0;0;5;0;0;-8;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
100;;TACA DE VINHO;BEBIDAS ALCOOLICAS ;;22089000;0;0;0;0;0;0;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
290;;CERV DEVASSA 600ML;BEBIDAS ALCOOLICAS ;;22030000;0;0;10;0;0;-150;UNID;S;5405;500;;0;S;S;N;N;;49;0;;0
291;;CERV HEINEKEN 600ML;BEBIDAS ALCOOLICAS ;;22030000;0;0;16;0;0;-87;UNID;S;5405;500;;0;S;S;N;N;;49;0;;0
292;;CERV BUDWEISER 600ML;BEBIDAS ALCOOLICAS ;;22030000;0;0;12;0;0;-148;UNID;S;5405;500;;0;S;S;N;N;;49;0;;0
293;;CERV HEINEKEN LONGNECK;BEBIDAS ALCOOLICAS ;;22030000;0;0;10;0;0;-77;UNID;S;5405;500;;0;S;S;N;N;;49;0;;0
294;;CERV BUDWEISER LONGNECK;BEBIDAS ALCOOLICAS ;;22030000;0;0;9;0;0;-16;UNID;S;5405;500;;0;S;S;N;N;;49;0;;0
69;;REFRIGERANTE LATA - COCA COLA ;BEBIDAS GERAL;;22021000;0;0;6;0;0;-134;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
70;;REFRIGERANTE LATA - COCA COLA ZERO;BEBIDAS GERAL;;22021000;0;0;6;0;0;-154;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
71;;REFRIGERANTE LATA - GUARANA;BEBIDAS GERAL;;22021000;0;0;6;0;0;-58;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
72;;REFRIGERANTE LATA - FANTA LARANJA ;BEBIDAS GERAL;;22021000;0;0;6;0;0;-31;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
73;;REFRIGERANTE LATA - FANTA UVA;BEBIDAS GERAL;;22021000;0;0;6;0;0;-20;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
74;;REFRIGERANTE LATA - SPRITE;BEBIDAS GERAL;;22021000;0;0;6;0;0;-14;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
75;;REFRIGERANTE LATA - CAJUINA ;BEBIDAS GERAL;;22021000;0;0;6;0;0;-13;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
76;;REFRIGERANTE 600 ML - COCA COLA;BEBIDAS GERAL;;22021000;0;0;7;0;0;-101;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
77;;REFRIGERANTE 1 L - COCA COLA;BEBIDAS GERAL;;22021000;0;0;8;0;0;-1.346,00;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
78;;REFRIGERANTE 1 L - GUARANA;BEBIDAS GERAL;;22021000;0;0;8;0;0;-357;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
79;;REFRIGERANTE 1 L - FANTA LARANJA;BEBIDAS GERAL;;22021000;0;0;8;0;0;-122;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
80;;REFRIGERANTE 1 L - CAJUINA ;BEBIDAS GERAL;;22021000;0;0;8;0;0;-37;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
81;;AGUA C/ GAS 500 ML ;BEBIDAS GERAL;;22021000;0;0;4;0;0;-93;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
82;;AGUA 500 ML ;BEBIDAS GERAL;;22021000;0;0;3;0;0;-295;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
83;;AGUA DE COCO ;BEBIDAS GERAL;;20098990;0;0;4;0;0;-32;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
84;;AQUARIUS FLESH ;BEBIDAS GERAL;;22021000;0;0;5;0;0;-103;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
85;;RED BULL ;BEBIDAS GERAL;;22021000;0;0;10;0;0;-149;UNID;S;5405;500;40.0;0;S;S;N;N;;49;0;;0
153;;Taxa de Entrega;DIVERSOS;;0;0;0;0;0;0;-3;UN;N;5102;102;40.0;0;S;N;N;N;;49;0;;0
162;;TAXA DE SERVICO;DIVERSOS;;0;0;0;0;0;0;0;UNID;S;5102;102;40.0;0;S;N;N;N;;49;0;;0
303;;ACAI KG;DIVERSOS;;8119000;0;0;45;0;0;-18,25;KG;S;5102;102;;0;S;S;S;N;;49;0;;0
304;;PA�OCA;DIVERSOS;;20079990;0;0;0,5;0;0;-7;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
305;;Trident;DIVERSOS;;20079990;0;0;2;0;0;-3;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
306;;Halls;DIVERSOS;;0;0;0;2;0;0;-16;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
307;;Baton Garoto;DIVERSOS;;0;0;0;2;0;0;-44;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
308;;Serenata;DIVERSOS;;0;0;0;2;0;0;-15;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
309;;Balinha;DIVERSOS;;0;0;0;0,2;0;0;-18;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
310;;Caramelo;DIVERSOS;;0;0;0;0,5;0;0;-13;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
311;;Pirulito Pop;DIVERSOS;;0;0;0;1;0;0;-65;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
312;;Amdendoim;DIVERSOS;;0;0;0;2;0;0;-93;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
313;;Picole de Brigadeiro;DIVERSOS;;0;0;0;6;0;0;-11;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
314;;Picole Lapis;DIVERSOS;;0;0;0;2,5;0;0;-25;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
315;;Picole de Coracao;DIVERSOS;;0;0;0;6;0;0;-17;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
316;;Picole Chocolate;DIVERSOS;;0;0;0;4;0;0;-29;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
317;;Sterbom;DIVERSOS;;0;0;0;7;0;0;-15;UNID;S;5102;102;;0;S;S;N;N;;49;0;;0
86;;DRINK - CAIPIRINHA ;DRINKS ;;22089000;0;0;7;0;0;-118;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
87;;DRINK - CAIPIROSCA;DRINKS ;;22089000;0;0;8;0;0;-29;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
88;;DRINK - ESPANHOLA;DRINKS ;;22089000;0;0;10;0;0;-49;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
89;;DRINK - MORANGO FROZEN;DRINKS ;;22089000;0;0;10;0;0;-45;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
90;;DRINK - DOM MATEUS;DRINKS ;;22089000;0;0;15;0;0;-6;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
91;;DRINK - PINA COLADA;DRINKS ;;22089000;0;0;12;0;0;-8;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
42;;FILE A PARMEGIANA - 1 PESSOA ;PARMEGIANAS ;;16023290;0;0;23;0;0;-91;UNID;S;5102;102;40.0;0;S;S;N;N;;49;0;;0
